OldName,NewNamespace,toolkit
TopOpeBRepDS_BuildTool,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Check,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Curve,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_CurveData,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_CurveExplorer,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_CurveIterator,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_CurvePointInterference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_DataStructure,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Dumper,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_EIR,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Edge3dInterferenceTool,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_EdgeInterferenceTool,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_EdgeVertexInterference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Explorer,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_FIR,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_FaceEdgeInterference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_FaceInterferenceTool,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Filter,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_GapFiller,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_GapTool,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_GeometryData,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_HDataStructure,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Interference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_InterferenceIterator,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_InterferenceTool,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_ListOfShapeOn1State,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Marker,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Point,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_PointData,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_PointExplorer,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_PointIterator,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Reducer,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_ShapeData,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_ShapeShapeInterference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_ShapeWithState,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_SolidSurfaceInterference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Surface,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_SurfaceCurveInterference,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_SurfaceData,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_SurfaceExplorer,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_SurfaceIterator,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_TKI,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_TOOL,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepDS_Transition,algorithm::boolean::legacy::ds,TKBool
TopOpeBRepTool,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_AncestorsTool,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_BoxSort,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_C2DF,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_CLASSI,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_CORRISO,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_CurveTool,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_FuseEdges,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_GeomTool,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_HBoxTool,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_PurgeInternalEdges,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_REGUS,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_REGUW,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_ShapeClassifier,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_ShapeExplorer,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_ShapeTool,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_SolidClassifier,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_TOOL,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_connexity,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_face,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_makeTransition,algorithm::boolean::legacy::tool,TKBool
TopOpeBRepTool_mkTondgE,algorithm::boolean::legacy::tool,TKBool
TopOpeBRep_Bipoint,algorithm::boolean::legacy,TKBool
TopOpeBRep_DSFiller,algorithm::boolean::legacy,TKBool
TopOpeBRep_EdgesFiller,algorithm::boolean::legacy,TKBool
TopOpeBRep_EdgesIntersector,algorithm::boolean::legacy,TKBool
TopOpeBRep_FFDumper,algorithm::boolean::legacy,TKBool
TopOpeBRep_FFTransitionTool,algorithm::boolean::legacy,TKBool
TopOpeBRep_FaceEdgeFiller,algorithm::boolean::legacy,TKBool
TopOpeBRep_FaceEdgeIntersector,algorithm::boolean::legacy,TKBool
TopOpeBRep_FacesFiller,algorithm::boolean::legacy,TKBool
TopOpeBRep_FacesIntersector,algorithm::boolean::legacy,TKBool
TopOpeBRep_GeomTool,algorithm::boolean::legacy,TKBool
TopOpeBRep_Hctxee2d,algorithm::boolean::legacy,TKBool
TopOpeBRep_Hctxff2d,algorithm::boolean::legacy,TKBool
TopOpeBRep_LineInter,algorithm::boolean::legacy,TKBool
TopOpeBRep_Point2d,algorithm::boolean::legacy,TKBool
TopOpeBRep_PointClassifier,algorithm::boolean::legacy,TKBool
TopOpeBRep_PointGeomTool,algorithm::boolean::legacy,TKBool
TopOpeBRep_ShapeIntersector,algorithm::boolean::legacy,TKBool
TopOpeBRep_ShapeIntersector2d,algorithm::boolean::legacy,TKBool
TopOpeBRep_ShapeScanner,algorithm::boolean::legacy,TKBool
TopOpeBRep_VPointInter,algorithm::boolean::legacy,TKBool
TopOpeBRep_VPointInterClassifier,algorithm::boolean::legacy,TKBool
TopOpeBRep_VPointInterIterator,algorithm::boolean::legacy,TKBool
TopOpeBRep_WPointInter,algorithm::boolean::legacy,TKBool
TopOpeBRep_WPointInterIterator,algorithm::boolean::legacy,TKBool
AppStd_Application,app::standard,TKCAF
TDataXtd,app::attribute::extended,TKCAF
TDataXtd_Axis,app::attribute::extended,TKCAF
TDataXtd_Constraint,app::attribute::extended,TKCAF
TDataXtd_Geometry,app::attribute::extended,TKCAF
TDataXtd_Pattern,app::attribute::extended,TKCAF
TDataXtd_PatternStd,app::attribute::extended,TKCAF
TDataXtd_Placement,app::attribute::extended,TKCAF
TDataXtd_Plane,app::attribute::extended,TKCAF
TDataXtd_Point,app::attribute::extended,TKCAF
TDataXtd_Position,app::attribute::extended,TKCAF
TDataXtd_Presentation,app::attribute::extended,TKCAF
TDataXtd_Shape,app::attribute::extended,TKCAF
TDataXtd_Triangulation,app::attribute::extended,TKCAF
TNaming,app::naming,TKCAF
TNaming_Builder,app::naming,TKCAF
TNaming_CopyShape,app::naming,TKCAF
TNaming_DeltaOnModification,app::naming,TKCAF
TNaming_DeltaOnRemoval,app::naming,TKCAF
TNaming_Identifier,app::naming,TKCAF
TNaming_Iterator,app::naming,TKCAF
TNaming_IteratorOnShapesSet,app::naming,TKCAF
TNaming_Localizer,app::naming,TKCAF
TNaming_Name,app::naming,TKCAF
TNaming_NamedShape,app::naming,TKCAF
TNaming_Naming,app::naming,TKCAF
TNaming_NamingTool,app::naming,TKCAF
TNaming_NewShapeIterator,app::naming,TKCAF
TNaming_OldShapeIterator,app::naming,TKCAF
TNaming_RefShape,app::naming,TKCAF
TNaming_SameShapeIterator,app::naming,TKCAF
TNaming_Scope,app::naming,TKCAF
TNaming_Selector,app::naming,TKCAF
TNaming_ShapesSet,app::naming,TKCAF
TNaming_Tool,app::naming,TKCAF
TNaming_TranslateTool,app::naming,TKCAF
TNaming_Translator,app::naming,TKCAF
TNaming_UsedShapes,app::naming,TKCAF
